#,result,kills,deaths,assists,duration,summoner,region,puuid
67,Defeat,4,8,0,22m 26s,G2%20Caps-1323,EUW,05iiDP3EP4fOeMT9Qx9iAjFvI1WwMwHt1Iv6cDIlSQCyxoPRX1fKFaR6fCFEat3xG2EPnt9-i8jGYA
68,Defeat,3,9,8,31m 04s,G2%20Caps-1323,EUW,05iiDP3EP4fOeMT9Qx9iAjFvI1WwMwHt1Iv6cDIlSQCyxoPRX1fKFaR6fCFEat3xG2EPnt9-i8jGYA
69,Defeat,3,5,8,26m 00s,G2%20Caps-1323,EUW,05iiDP3EP4fOeMT9Qx9iAjFvI1WwMwHt1Iv6cDIlSQCyxoPRX1fKFaR6fCFEat3xG2EPnt9-i8jGYA
70,Victory,10,3,6,27m 48s,G2%20Caps-1323,EUW,05iiDP3EP4fOeMT9Qx9iAjFvI1WwMwHt1Iv6cDIlSQCyxoPRX1fKFaR6fCFEat3xG2EPnt9-i8jGYA
71,Victory,19,6,8,32m 38s,G2%20Caps-1323,EUW,05iiDP3EP4fOeMT9Qx9iAjFvI1WwMwHt1Iv6cDIlSQCyxoPRX1fKFaR6fCFEat3xG2EPnt9-i8jGYA
72,Victory,13,5,5,18m 20s,G2%20Caps-1323,EUW,05iiDP3EP4fOeMT9Qx9iAjFvI1WwMwHt1Iv6cDIlSQCyxoPRX1fKFaR6fCFEat3xG2EPnt9-i8jGYA
73,Defeat,12,6,5,29m 49s,G2%20Caps-1323,EUW,05iiDP3EP4fOeMT9Qx9iAjFvI1WwMwHt1Iv6cDIlSQCyxoPRX1fKFaR6fCFEat3xG2EPnt9-i8jGYA
74,Victory,7,7,14,25m 43s,G2%20Caps-1323,EUW,05iiDP3EP4fOeMT9Qx9iAjFvI1WwMwHt1Iv6cDIlSQCyxoPRX1fKFaR6fCFEat3xG2EPnt9-i8jGYA
75,Victory,4,8,6,29m 30s,G2%20Caps-1323,EUW,05iiDP3EP4fOeMT9Qx9iAjFvI1WwMwHt1Iv6cDIlSQCyxoPRX1fKFaR6fCFEat3xG2EPnt9-i8jGYA
76,Defeat,4,6,3,24m 32s,G2%20Caps-1323,EUW,05iiDP3EP4fOeMT9Qx9iAjFvI1WwMwHt1Iv6cDIlSQCyxoPRX1fKFaR6fCFEat3xG2EPnt9-i8jGYA
77,Victory,3,4,0,16m 59s,G2%20Caps-1323,EUW,05iiDP3EP4fOeMT9Qx9iAjFvI1WwMwHt1Iv6cDIlSQCyxoPRX1fKFaR6fCFEat3xG2EPnt9-i8jGYA
78,Victory,13,11,7,42m 20s,G2%20Caps-1323,EUW,05iiDP3EP4fOeMT9Qx9iAjFvI1WwMwHt1Iv6cDIlSQCyxoPRX1fKFaR6fCFEat3xG2EPnt9-i8jGYA
79,Victory,7,4,8,23m 08s,G2%20Caps-1323,EUW,05iiDP3EP4fOeMT9Qx9iAjFvI1WwMwHt1Iv6cDIlSQCyxoPRX1fKFaR6fCFEat3xG2EPnt9-i8jGYA
80,Victory,6,4,1,15m 11s,G2%20Caps-1323,EUW,05iiDP3EP4fOeMT9Qx9iAjFvI1WwMwHt1Iv6cDIlSQCyxoPRX1fKFaR6fCFEat3xG2EPnt9-i8jGYA
81,Defeat,6,9,9,31m 04s,G2%20Caps-1323,EUW,05iiDP3EP4fOeMT9Qx9iAjFvI1WwMwHt1Iv6cDIlSQCyxoPRX1fKFaR6fCFEat3xG2EPnt9-i8jGYA
82,Defeat,6,9,7,41m 44s,G2%20Caps-1323,EUW,05iiDP3EP4fOeMT9Qx9iAjFvI1WwMwHt1Iv6cDIlSQCyxoPRX1fKFaR6fCFEat3xG2EPnt9-i8jGYA
83,Defeat,2,4,0,15m 35s,G2%20Caps-1323,EUW,05iiDP3EP4fOeMT9Qx9iAjFvI1WwMwHt1Iv6cDIlSQCyxoPRX1fKFaR6fCFEat3xG2EPnt9-i8jGYA
84,Defeat,5,8,0,20m 08s,G2%20Caps-1323,EUW,05iiDP3EP4fOeMT9Qx9iAjFvI1WwMwHt1Iv6cDIlSQCyxoPRX1fKFaR6fCFEat3xG2EPnt9-i8jGYA
85,Defeat,7,8,2,26m 25s,G2%20Caps-1323,EUW,05iiDP3EP4fOeMT9Qx9iAjFvI1WwMwHt1Iv6cDIlSQCyxoPRX1fKFaR6fCFEat3xG2EPnt9-i8jGYA
86,Defeat,4,10,6,30m 30s,G2%20Caps-1323,EUW,05iiDP3EP4fOeMT9Qx9iAjFvI1WwMwHt1Iv6cDIlSQCyxoPRX1fKFaR6fCFEat3xG2EPnt9-i8jGYA
87,Victory,10,0,0,15m 12s,G2%20Caps-1323,EUW,05iiDP3EP4fOeMT9Qx9iAjFvI1WwMwHt1Iv6cDIlSQCyxoPRX1fKFaR6fCFEat3xG2EPnt9-i8jGYA
88,Victory,7,9,1,24m 04s,G2%20Caps-1323,EUW,05iiDP3EP4fOeMT9Qx9iAjFvI1WwMwHt1Iv6cDIlSQCyxoPRX1fKFaR6fCFEat3xG2EPnt9-i8jGYA
89,Victory,15,5,7,25m 50s,G2%20Caps-1323,EUW,05iiDP3EP4fOeMT9Qx9iAjFvI1WwMwHt1Iv6cDIlSQCyxoPRX1fKFaR6fCFEat3xG2EPnt9-i8jGYA
90,Defeat,3,7,4,30m 00s,G2%20Caps-1323,EUW,05iiDP3EP4fOeMT9Qx9iAjFvI1WwMwHt1Iv6cDIlSQCyxoPRX1fKFaR6fCFEat3xG2EPnt9-i8jGYA
